Customer Number,Customer Identifier,Customer Details,Market Segment Code,Phone Number,Account Balance,Market Segment,Comment
358,Customer#000000358,Details for Customer 358,19,15-445-957-7326,1738.34,FURNITURE,Excellent customer service experience 358
359,Customer#000000359,Details for Customer 359,15,63-103-656-4417,828.74,ELECTRONICS,Excellent customer service experience 359
360,Customer#000000360,Details for Customer 360,16,54-533-781-1970,754.74,FURNITURE,Excellent customer service experience 360
361,Customer#000000361,Details for Customer 361,19,69-702-184-3653,1543.69,FURNITURE,Excellent customer service experience 361
362,Customer#000000362,Details for Customer 362,10,83-294-805-8267,1361.52,ELECTRONICS,Excellent customer service experience 362
363,Customer#000000363,Details for Customer 363,13,29-331-248-4365,838.81,FURNITURE,Excellent customer service experience 363
364,Customer#000000364,Details for Customer 364,17,21-758-731-4874,504.29,ELECTRONICS,Excellent customer service experience 364
365,Customer#000000365,Details for Customer 365,12,64-765-694-1362,614.23,AUTOMOBILE,Excellent customer service experience 365
366,Customer#000000366,Details for Customer 366,19,53-749-856-7070,1931.71,FURNITURE,Excellent customer service experience 366
367,Customer#000000367,Details for Customer 367,10,29-478-874-1028,1083.58,BUILDING,Excellent customer service experience 367
368,Customer#000000368,Details for Customer 368,19,90-405-457-3148,1349.24,BUILDING,Excellent customer service experience 368
369,Customer#000000369,Details for Customer 369,19,53-131-165-8064,1641.91,AUTOMOBILE,Excellent customer service experience 369
370,Customer#000000370,Details for Customer 370,19,44-481-200-9395,882.65,AUTOMOBILE,Excellent customer service experience 370
371,Customer#000000371,Details for Customer 371,17,50-356-807-6421,1945.98,ELECTRONICS,Excellent customer service experience 371
372,Customer#000000372,Details for Customer 372,17,91-880-459-3537,1611.72,AUTOMOBILE,Excellent customer service experience 372
373,Customer#000000373,Details for Customer 373,16,97-362-186-5924,1563.68,BUILDING,Excellent customer service experience 373
374,Customer#000000374,Details for Customer 374,17,61-668-306-3172,1659.56,ELECTRONICS,Excellent customer service experience 374
375,Customer#000000375,Details for Customer 375,10,30-392-196-5836,568.37,BUILDING,Excellent customer service experience 375
376,Customer#000000376,Details for Customer 376,16,28-893-962-7623,657.28,FURNITURE,Excellent customer service experience 376
377,Customer#000000377,Details for Customer 377,10,69-627-828-5886,1508.21,BUILDING,Excellent customer service experience 377
378,Customer#000000378,Details for Customer 378,12,76-123-261-4445,672.64,AUTOMOBILE,Excellent customer service experience 378
379,Customer#000000379,Details for Customer 379,16,82-717-531-4437,1565.21,BUILDING,Excellent customer service experience 379
380,Customer#000000380,Details for Customer 380,18,66-563-119-7222,664.49,ELECTRONICS,Excellent customer service experience 380
381,Customer#000000381,Details for Customer 381,18,48-137-903-4339,765.2,BUILDING,Excellent customer service experience 381
382,Customer#000000382,Details for Customer 382,16,38-327-910-4757,1218.0,ELECTRONICS,Excellent customer service experience 382
383,Customer#000000383,Details for Customer 383,13,91-653-434-2138,1232.96,BUILDING,Excellent customer service experience 383
384,Customer#000000384,Details for Customer 384,12,45-290-521-8903,912.36,AUTOMOBILE,Excellent customer service experience 384
385,Customer#000000385,Details for Customer 385,13,65-902-850-7431,1074.76,ELECTRONICS,Excellent customer service experience 385
386,Customer#000000386,Details for Customer 386,11,93-503-413-5709,1336.44,ELECTRONICS,Excellent customer service experience 386
387,Customer#000000387,Details for Customer 387,14,33-688-338-6200,974.62,ELECTRONICS,Excellent customer service experience 387
388,Customer#000000388,Details for Customer 388,10,65-642-191-7374,1016.37,FURNITURE,Excellent customer service experience 388
389,Customer#000000389,Details for Customer 389,18,13-954-485-6646,1286.05,ELECTRONICS,Excellent customer service experience 389
390,Customer#000000390,Details for Customer 390,12,37-740-847-8177,1711.03,FURNITURE,Excellent customer service experience 390
391,Customer#000000391,Details for Customer 391,16,45-946-644-5364,1495.52,BUILDING,Excellent customer service experience 391
392,Customer#000000392,Details for Customer 392,17,62-273-946-7749,748.24,FURNITURE,Excellent customer service experience 392
393,Customer#000000393,Details for Customer 393,17,91-170-339-8373,814.38,ELECTRONICS,Excellent customer service experience 393
394,Customer#000000394,Details for Customer 394,18,96-399-868-6358,661.11,AUTOMOBILE,Excellent customer service experience 394
395,Customer#000000395,Details for Customer 395,10,24-968-604-5163,1665.46,FURNITURE,Excellent customer service experience 395
396,Customer#000000396,Details for Customer 396,12,14-280-160-6643,1697.42,BUILDING,Excellent customer service experience 396
397,Customer#000000397,Details for Customer 397,11,70-241-752-6432,1454.01,FURNITURE,Excellent customer service experience 397
398,Customer#000000398,Details for Customer 398,16,15-925-514-2762,1093.23,BUILDING,Excellent customer service experience 398
399,Customer#000000399,Details for Customer 399,13,71-741-911-6520,1721.18,ELECTRONICS,Excellent customer service experience 399
400,Customer#000000400,Details for Customer 400,16,49-664-536-5976,1457.99,AUTOMOBILE,Excellent customer service experience 400
401,Customer#000000401,Details for Customer 401,17,17-246-505-8830,981.73,FURNITURE,Excellent customer service experience 401
402,Customer#000000402,Details for Customer 402,19,40-424-963-8555,1040.31,AUTOMOBILE,Excellent customer service experience 402
403,Customer#000000403,Details for Customer 403,14,59-852-237-4934,680.76,AUTOMOBILE,Excellent customer service experience 403
404,Customer#000000404,Details for Customer 404,10,86-532-236-8039,841.46,ELECTRONICS,Excellent customer service experience 404
405,Customer#000000405,Details for Customer 405,18,34-264-219-4337,1541.42,FURNITURE,Excellent customer service experience 405
406,Customer#000000406,Details for Customer 406,12,16-876-860-6049,748.35,FURNITURE,Excellent customer service experience 406
407,Customer#000000407,Details for Customer 407,13,11-776-100-3766,849.52,BUILDING,Excellent customer service experience 407
408,Customer#000000408,Details for Customer 408,12,64-575-638-6794,803.08,AUTOMOBILE,Excellent customer service experience 408
409,Customer#000000409,Details for Customer 409,18,79-226-107-9946,832.03,ELECTRONICS,Excellent customer service experience 409
410,Customer#000000410,Details for Customer 410,10,92-348-257-5607,1674.67,AUTOMOBILE,Excellent customer service experience 410
411,Customer#000000411,Details for Customer 411,16,90-929-662-6809,1116.78,FURNITURE,Excellent customer service experience 411
412,Customer#000000412,Details for Customer 412,16,79-585-702-9866,1025.44,ELECTRONICS,Excellent customer service experience 412
413,Customer#000000413,Details for Customer 413,19,98-537-398-6794,1884.13,ELECTRONICS,Excellent customer service experience 413
414,Customer#000000414,Details for Customer 414,15,84-934-677-8083,918.42,FURNITURE,Excellent customer service experience 414
415,Customer#000000415,Details for Customer 415,19,21-986-939-7563,562.3,ELECTRONICS,Excellent customer service experience 415
416,Customer#000000416,Details for Customer 416,17,27-972-556-9480,1569.0,FURNITURE,Excellent customer service experience 416
417,Customer#000000417,Details for Customer 417,13,75-717-616-1209,1136.48,ELECTRONICS,Excellent customer service experience 417
418,Customer#000000418,Details for Customer 418,16,69-963-309-5260,1152.03,BUILDING,Excellent customer service experience 418
419,Customer#000000419,Details for Customer 419,18,74-337-183-4332,1135.74,AUTOMOBILE,Excellent customer service experience 419
420,Customer#000000420,Details for Customer 420,15,11-688-748-6409,1181.54,FURNITURE,Excellent customer service experience 420
421,Customer#000000421,Details for Customer 421,12,43-475-129-4798,1752.27,ELECTRONICS,Excellent customer service experience 421
422,Customer#000000422,Details for Customer 422,18,73-509-193-3616,1278.35,ELECTRONICS,Excellent customer service experience 422
423,Customer#000000423,Details for Customer 423,19,77-462-447-8464,968.6,ELECTRONICS,Excellent customer service experience 423
424,Customer#000000424,Details for Customer 424,11,23-190-272-8522,638.08,ELECTRONICS,Excellent customer service experience 424
425,Customer#000000425,Details for Customer 425,14,58-765-800-1481,1355.72,FURNITURE,Excellent customer service experience 425
426,Customer#000000426,Details for Customer 426,10,21-245-384-4371,598.74,FURNITURE,Excellent customer service experience 426
427,Customer#000000427,Details for Customer 427,19,30-464-136-2288,1290.11,AUTOMOBILE,Excellent customer service experience 427
428,Customer#000000428,Details for Customer 428,14,57-873-642-4772,624.2,ELECTRONICS,Excellent customer service experience 428
429,Customer#000000429,Details for Customer 429,17,61-275-919-4564,1398.31,BUILDING,Excellent customer service experience 429
430,Customer#000000430,Details for Customer 430,10,23-802-439-7950,1115.5,ELECTRONICS,Excellent customer service experience 430
431,Customer#000000431,Details for Customer 431,19,90-375-776-7262,519.16,BUILDING,Excellent customer service experience 431
432,Customer#000000432,Details for Customer 432,11,20-845-602-3355,1268.33,BUILDING,Excellent customer service experience 432
433,Customer#000000433,Details for Customer 433,14,29-793-525-5045,1139.79,ELECTRONICS,Excellent customer service experience 433
434,Customer#000000434,Details for Customer 434,10,83-769-165-5469,816.62,BUILDING,Excellent customer service experience 434
435,Customer#000000435,Details for Customer 435,10,65-183-196-9762,1325.37,FURNITURE,Excellent customer service experience 435
436,Customer#000000436,Details for Customer 436,19,40-904-510-9872,680.34,BUILDING,Excellent customer service experience 436
437,Customer#000000437,Details for Customer 437,10,10-501-926-2503,870.28,FURNITURE,Excellent customer service experience 437
438,Customer#000000438,Details for Customer 438,13,97-132-117-5551,1887.01,FURNITURE,Excellent customer service experience 438
439,Customer#000000439,Details for Customer 439,18,17-474-756-4711,520.36,AUTOMOBILE,Excellent customer service experience 439
440,Customer#000000440,Details for Customer 440,16,40-386-602-1409,616.32,AUTOMOBILE,Excellent customer service experience 440
441,Customer#000000441,Details for Customer 441,12,92-813-760-1783,1317.62,AUTOMOBILE,Excellent customer service experience 441
442,Customer#000000442,Details for Customer 442,10,95-782-778-6525,1787.85,ELECTRONICS,Excellent customer service experience 442
443,Customer#000000443,Details for Customer 443,19,21-342-425-8253,1385.97,FURNITURE,Excellent customer service experience 443
444,Customer#000000444,Details for Customer 444,16,96-207-574-4985,819.07,BUILDING,Excellent customer service experience 444
445,Customer#000000445,Details for Customer 445,15,82-885-761-8987,1342.59,FURNITURE,Excellent customer service experience 445
446,Customer#000000446,Details for Customer 446,16,12-670-660-8897,1626.4,AUTOMOBILE,Excellent customer service experience 446
447,Customer#000000447,Details for Customer 447,19,93-964-176-4633,1358.28,ELECTRONICS,Excellent customer service experience 447
448,Customer#000000448,Details for Customer 448,11,57-217-650-5479,1226.77,FURNITURE,Excellent customer service experience 448
449,Customer#000000449,Details for Customer 449,14,39-424-306-3225,985.69,AUTOMOBILE,Excellent customer service experience 449
450,Customer#000000450,Details for Customer 450,14,90-179-515-3961,1456.08,AUTOMOBILE,Excellent customer service experience 450
451,Customer#000000451,Details for Customer 451,12,74-627-550-8015,1021.46,AUTOMOBILE,Excellent customer service experience 451
452,Customer#000000452,Details for Customer 452,19,55-286-902-5530,615.06,AUTOMOBILE,Excellent customer service experience 452
453,Customer#000000453,Details for Customer 453,12,77-453-922-2140,1564.82,FURNITURE,Excellent customer service experience 453
454,Customer#000000454,Details for Customer 454,14,69-736-503-2028,824.64,AUTOMOBILE,Excellent customer service experience 454
455,Customer#000000455,Details for Customer 455,19,85-278-690-4942,556.94,ELECTRONICS,Excellent customer service experience 455
456,Customer#000000456,Details for Customer 456,13,52-917-640-5971,1421.55,ELECTRONICS,Excellent customer service experience 456
457,Customer#000000457,Details for Customer 457,13,16-736-562-2776,1284.62,BUILDING,Excellent customer service experience 457
458,Customer#000000458,Details for Customer 458,16,66-412-785-9962,1961.45,AUTOMOBILE,Excellent customer service experience 458
459,Customer#000000459,Details for Customer 459,10,62-941-639-5975,651.4,AUTOMOBILE,Excellent customer service experience 459
460,Customer#000000460,Details for Customer 460,18,44-412-380-3605,1143.52,ELECTRONICS,Excellent customer service experience 460
461,Customer#000000461,Details for Customer 461,19,84-593-624-2028,1248.65,AUTOMOBILE,Excellent customer service experience 461
462,Customer#000000462,Details for Customer 462,15,46-193-778-4626,794.15,ELECTRONICS,Excellent customer service experience 462
463,Customer#000000463,Details for Customer 463,15,45-966-670-9725,1566.31,ELECTRONICS,Excellent customer service experience 463
464,Customer#000000464,Details for Customer 464,12,80-579-752-4455,986.82,BUILDING,Excellent customer service experience 464
465,Customer#000000465,Details for Customer 465,10,84-341-815-1054,1869.36,FURNITURE,Excellent customer service experience 465
466,Customer#000000466,Details for Customer 466,14,63-326-693-6700,625.73,AUTOMOBILE,Excellent customer service experience 466
467,Customer#000000467,Details for Customer 467,10,36-652-875-3037,865.43,FURNITURE,Excellent customer service experience 467
468,Customer#000000468,Details for Customer 468,15,53-568-385-4534,818.29,BUILDING,Excellent customer service experience 468
469,Customer#000000469,Details for Customer 469,12,84-304-574-1880,662.24,FURNITURE,Excellent customer service experience 469
470,Customer#000000470,Details for Customer 470,13,63-114-258-2742,755.5,AUTOMOBILE,Excellent customer service experience 470
471,Customer#000000471,Details for Customer 471,12,31-169-524-8788,1167.04,BUILDING,Excellent customer service experience 471
472,Customer#000000472,Details for Customer 472,19,26-866-875-6779,1694.03,AUTOMOBILE,Excellent customer service experience 472
473,Customer#000000473,Details for Customer 473,18,12-416-772-8779,1171.82,FURNITURE,Excellent customer service experience 473
474,Customer#000000474,Details for Customer 474,19,28-151-659-3621,1715.42,BUILDING,Excellent customer service experience 474
475,Customer#000000475,Details for Customer 475,10,27-934-794-5873,1729.16,ELECTRONICS,Excellent customer service experience 475
476,Customer#000000476,Details for Customer 476,16,52-426-121-3481,850.82,ELECTRONICS,Excellent customer service experience 476
477,Customer#000000477,Details for Customer 477,10,55-363-569-3159,1875.91,ELECTRONICS,Excellent customer service experience 477
478,Customer#000000478,Details for Customer 478,19,99-602-544-5356,1115.65,FURNITURE,Excellent customer service experience 478
479,Customer#000000479,Details for Customer 479,11,93-813-831-9973,1736.76,AUTOMOBILE,Excellent customer service experience 479
480,Customer#000000480,Details for Customer 480,13,71-986-324-3738,1712.71,BUILDING,Excellent customer service experience 480
481,Customer#000000481,Details for Customer 481,15,63-937-816-1933,1772.71,AUTOMOBILE,Excellent customer service experience 481
482,Customer#000000482,Details for Customer 482,11,15-920-724-6692,573.55,FURNITURE,Excellent customer service experience 482
483,Customer#000000483,Details for Customer 483,12,69-898-235-8380,1764.18,FURNITURE,Excellent customer service experience 483
484,Customer#000000484,Details for Customer 484,10,93-390-638-4729,1187.07,FURNITURE,Excellent customer service experience 484
485,Customer#000000485,Details for Customer 485,15,74-210-801-6686,1153.47,BUILDING,Excellent customer service experience 485
486,Customer#000000486,Details for Customer 486,16,14-156-829-5833,1614.07,ELECTRONICS,Excellent customer service experience 486
487,Customer#000000487,Details for Customer 487,19,38-478-466-3961,1580.18,FURNITURE,Excellent customer service experience 487
488,Customer#000000488,Details for Customer 488,11,17-271-292-2329,1418.65,AUTOMOBILE,Excellent customer service experience 488
489,Customer#000000489,Details for Customer 489,12,82-568-613-7652,1385.36,FURNITURE,Excellent customer service experience 489
490,Customer#000000490,Details for Customer 490,16,37-271-414-2807,960.22,ELECTRONICS,Excellent customer service experience 490
491,Customer#000000491,Details for Customer 491,16,62-621-892-6064,1629.9,FURNITURE,Excellent customer service experience 491
492,Customer#000000492,Details for Customer 492,17,99-854-786-5673,1542.93,BUILDING,Excellent customer service experience 492
493,Customer#000000493,Details for Customer 493,10,64-300-819-4736,879.35,AUTOMOBILE,Excellent customer service experience 493
494,Customer#000000494,Details for Customer 494,15,18-733-395-8174,1527.11,BUILDING,Excellent customer service experience 494
495,Customer#000000495,Details for Customer 495,14,56-766-340-6711,1504.06,BUILDING,Excellent customer service experience 495
496,Customer#000000496,Details for Customer 496,17,17-485-384-3205,733.02,BUILDING,Excellent customer service experience 496
497,Customer#000000497,Details for Customer 497,14,86-453-229-4570,1629.67,FURNITURE,Excellent customer service experience 497
498,Customer#000000498,Details for Customer 498,16,39-274-706-7513,1574.36,FURNITURE,Excellent customer service experience 498
499,Customer#000000499,Details for Customer 499,16,15-505-700-3025,1685.46,ELECTRONICS,Excellent customer service experience 499
500,Customer#000000500,Details for Customer 500,18,25-410-972-5397,1662.74,FURNITURE,Excellent customer service experience 500
501,Customer#000000501,Details for Customer 501,16,97-659-569-6162,800.8,ELECTRONICS,Excellent customer service experience 501
502,Customer#000000502,Details for Customer 502,10,32-844-132-7794,1354.86,BUILDING,Excellent customer service experience 502
503,Customer#000000503,Details for Customer 503,12,31-815-477-7547,1006.51,AUTOMOBILE,Excellent customer service experience 503
504,Customer#000000504,Details for Customer 504,10,89-237-124-3353,1605.76,FURNITURE,Excellent customer service experience 504
505,Customer#000000505,Details for Customer 505,10,60-536-370-2990,1102.58,ELECTRONICS,Excellent customer service experience 505
506,Customer#000000506,Details for Customer 506,18,39-328-736-3221,1133.46,AUTOMOBILE,Excellent customer service experience 506
507,Customer#000000507,Details for Customer 507,14,90-670-361-8857,1501.54,BUILDING,Excellent customer service experience 507
508,Customer#000000508,Details for Customer 508,10,91-261-574-6079,1834.99,FURNITURE,Excellent customer service experience 508
509,Customer#000000509,Details for Customer 509,11,60-605-116-5524,689.57,BUILDING,Excellent customer service experience 509
510,Customer#000000510,Details for Customer 510,10,31-531-894-2515,632.08,FURNITURE,Excellent customer service experience 510
511,Customer#000000511,Details for Customer 511,18,14-650-433-9483,1990.45,BUILDING,Excellent customer service experience 511
512,Customer#000000512,Details for Customer 512,15,22-745-156-2234,1221.96,ELECTRONICS,Excellent customer service experience 512
513,Customer#000000513,Details for Customer 513,12,72-829-327-1351,1207.79,AUTOMOBILE,Excellent customer service experience 513
514,Customer#000000514,Details for Customer 514,18,57-391-607-5862,1767.16,ELECTRONICS,Excellent customer service experience 514
515,Customer#000000515,Details for Customer 515,10,21-253-630-5579,1970.89,AUTOMOBILE,Excellent customer service experience 515
516,Customer#000000516,Details for Customer 516,15,61-990-578-6035,907.9,ELECTRONICS,Excellent customer service experience 516
517,Customer#000000517,Details for Customer 517,10,24-361-228-7318,1007.05,FURNITURE,Excellent customer service experience 517
518,Customer#000000518,Details for Customer 518,18,14-929-889-6883,1532.15,ELECTRONICS,Excellent customer service experience 518
519,Customer#000000519,Details for Customer 519,15,94-662-483-1615,1785.52,AUTOMOBILE,Excellent customer service experience 519
520,Customer#000000520,Details for Customer 520,16,24-283-809-8792,902.23,ELECTRONICS,Excellent customer service experience 520
521,Customer#000000521,Details for Customer 521,19,67-615-897-2840,520.26,AUTOMOBILE,Excellent customer service experience 521
522,Customer#000000522,Details for Customer 522,14,47-886-301-7308,1654.93,FURNITURE,Excellent customer service experience 522
523,Customer#000000523,Details for Customer 523,14,77-852-233-9124,1251.21,BUILDING,Excellent customer service experience 523
524,Customer#000000524,Details for Customer 524,12,73-300-813-3449,712.32,FURNITURE,Excellent customer service experience 524
525,Customer#000000525,Details for Customer 525,14,97-976-551-2771,756.21,AUTOMOBILE,Excellent customer service experience 525
526,Customer#000000526,Details for Customer 526,10,79-784-606-7603,1265.13,AUTOMOBILE,Excellent customer service experience 526
527,Customer#000000527,Details for Customer 527,18,51-399-991-3020,660.54,BUILDING,Excellent customer service experience 527
528,Customer#000000528,Details for Customer 528,11,89-962-484-9694,1677.65,AUTOMOBILE,Excellent customer service experience 528
529,Customer#000000529,Details for Customer 529,17,43-273-655-4493,1157.74,ELECTRONICS,Excellent customer service experience 529
530,Customer#000000530,Details for Customer 530,14,51-394-135-1527,1101.54,FURNITURE,Excellent customer service experience 530
531,Customer#000000531,Details for Customer 531,11,64-654-445-5781,636.31,FURNITURE,Excellent customer service experience 531
532,Customer#000000532,Details for Customer 532,10,55-243-339-4194,987.54,ELECTRONICS,Excellent customer service experience 532
533,Customer#000000533,Details for Customer 533,19,62-463-840-7754,1311.46,AUTOMOBILE,Excellent customer service experience 533
534,Customer#000000534,Details for Customer 534,15,66-997-839-1092,788.12,FURNITURE,Excellent customer service experience 534
535,Customer#000000535,Details for Customer 535,11,37-353-995-6289,912.78,BUILDING,Excellent customer service experience 535
536,Customer#000000536,Details for Customer 536,18,12-242-380-6080,909.32,FURNITURE,Excellent customer service experience 536
537,Customer#000000537,Details for Customer 537,11,29-199-223-2953,1439.12,BUILDING,Excellent customer service experience 537
538,Customer#000000538,Details for Customer 538,16,86-766-978-2448,748.05,AUTOMOBILE,Excellent customer service experience 538
539,Customer#000000539,Details for Customer 539,10,25-953-250-8866,945.56,FURNITURE,Excellent customer service experience 539
540,Customer#000000540,Details for Customer 540,10,55-842-103-2625,1752.9,ELECTRONICS,Excellent customer service experience 540
541,Customer#000000541,Details for Customer 541,12,89-317-807-8226,765.34,FURNITURE,Excellent customer service experience 541
542,Customer#000000542,Details for Customer 542,10,30-288-848-5375,920.56,ELECTRONICS,Excellent customer service experience 542
543,Customer#000000543,Details for Customer 543,17,13-955-965-7083,1790.26,BUILDING,Excellent customer service experience 543
544,Customer#000000544,Details for Customer 544,12,19-514-499-5736,863.58,BUILDING,Excellent customer service experience 544
545,Customer#000000545,Details for Customer 545,17,89-382-673-4544,1211.93,BUILDING,Excellent customer service experience 545
546,Customer#000000546,Details for Customer 546,15,57-417-702-5098,917.43,FURNITURE,Excellent customer service experience 546
547,Customer#000000547,Details for Customer 547,14,83-477-774-7604,1024.54,ELECTRONICS,Excellent customer service experience 547
548,Customer#000000548,Details for Customer 548,10,95-678-800-9221,1833.81,ELECTRONICS,Excellent customer service experience 548
549,Customer#000000549,Details for Customer 549,17,18-184-836-2081,1303.37,AUTOMOBILE,Excellent customer service experience 549
550,Customer#000000550,Details for Customer 550,19,38-519-356-6363,1519.51,AUTOMOBILE,Excellent customer service experience 550
551,Customer#000000551,Details for Customer 551,18,84-487-210-6516,1943.79,BUILDING,Excellent customer service experience 551
552,Customer#000000552,Details for Customer 552,11,70-174-797-7640,1714.26,ELECTRONICS,Excellent customer service experience 552
553,Customer#000000553,Details for Customer 553,13,32-977-833-2080,740.31,FURNITURE,Excellent customer service experience 553
554,Customer#000000554,Details for Customer 554,12,60-211-679-1288,626.9,BUILDING,Excellent customer service experience 554
555,Customer#000000555,Details for Customer 555,12,46-557-215-5613,1521.14,ELECTRONICS,Excellent customer service experience 555
556,Customer#000000556,Details for Customer 556,15,53-197-384-3149,1540.17,BUILDING,Excellent customer service experience 556
557,Customer#000000557,Details for Customer 557,17,71-209-194-8225,1837.1,AUTOMOBILE,Excellent customer service experience 557
558,Customer#000000558,Details for Customer 558,11,75-246-866-8045,1785.47,AUTOMOBILE,Excellent customer service experience 558
559,Customer#000000559,Details for Customer 559,15,91-266-255-8415,1121.6,BUILDING,Excellent customer service experience 559
560,Customer#000000560,Details for Customer 560,13,69-972-861-9922,565.76,FURNITURE,Excellent customer service experience 560
561,Customer#000000561,Details for Customer 561,19,58-770-188-9551,1942.07,BUILDING,Excellent customer service experience 561
562,Customer#000000562,Details for Customer 562,15,54-798-537-7305,681.57,ELECTRONICS,Excellent customer service experience 562
563,Customer#000000563,Details for Customer 563,16,66-745-530-7406,1772.58,FURNITURE,Excellent customer service experience 563
564,Customer#000000564,Details for Customer 564,13,30-997-821-3631,1310.74,FURNITURE,Excellent customer service experience 564
565,Customer#000000565,Details for Customer 565,16,46-460-653-6950,724.3,BUILDING,Excellent customer service experience 565
566,Customer#000000566,Details for Customer 566,17,84-619-929-1072,1667.68,BUILDING,Excellent customer service experience 566
567,Customer#000000567,Details for Customer 567,15,95-538-539-4734,1487.7,BUILDING,Excellent customer service experience 567
568,Customer#000000568,Details for Customer 568,16,25-317-526-4811,1832.91,ELECTRONICS,Excellent customer service experience 568
569,Customer#000000569,Details for Customer 569,19,48-985-386-8020,1579.18,FURNITURE,Excellent customer service experience 569
570,Customer#000000570,Details for Customer 570,19,51-433-570-6705,1985.28,ELECTRONICS,Excellent customer service experience 570
571,Customer#000000571,Details for Customer 571,15,40-368-162-9674,1270.9,ELECTRONICS,Excellent customer service experience 571
572,Customer#000000572,Details for Customer 572,17,86-461-724-8867,1994.61,BUILDING,Excellent customer service experience 572
573,Customer#000000573,Details for Customer 573,15,64-826-968-3229,807.58,FURNITURE,Excellent customer service experience 573
574,Customer#000000574,Details for Customer 574,13,65-550-166-3112,1987.26,FURNITURE,Excellent customer service experience 574
575,Customer#000000575,Details for Customer 575,13,89-670-597-4801,1538.86,FURNITURE,Excellent customer service experience 575
576,Customer#000000576,Details for Customer 576,14,25-764-800-7659,1693.35,FURNITURE,Excellent customer service experience 576
577,Customer#000000577,Details for Customer 577,10,18-465-376-7979,1136.26,AUTOMOBILE,Excellent customer service experience 577
578,Customer#000000578,Details for Customer 578,11,57-658-862-4987,580.21,FURNITURE,Excellent customer service experience 578
579,Customer#000000579,Details for Customer 579,13,55-543-544-6748,909.08,BUILDING,Excellent customer service experience 579
580,Customer#000000580,Details for Customer 580,19,68-618-180-3674,722.46,ELECTRONICS,Excellent customer service experience 580
581,Customer#000000581,Details for Customer 581,13,73-982-555-1962,1385.83,ELECTRONICS,Excellent customer service experience 581
582,Customer#000000582,Details for Customer 582,13,67-963-638-1710,695.3,BUILDING,Excellent customer service experience 582
583,Customer#000000583,Details for Customer 583,18,87-916-799-1186,523.24,ELECTRONICS,Excellent customer service experience 583
584,Customer#000000584,Details for Customer 584,18,60-450-202-6355,1786.6,BUILDING,Excellent customer service experience 584
585,Customer#000000585,Details for Customer 585,13,66-609-457-9749,1855.04,ELECTRONICS,Excellent customer service experience 585
586,Customer#000000586,Details for Customer 586,18,58-737-325-9260,1077.85,FURNITURE,Excellent customer service experience 586
587,Customer#000000587,Details for Customer 587,19,82-884-218-6299,1588.04,BUILDING,Excellent customer service experience 587
588,Customer#000000588,Details for Customer 588,14,55-692-394-7640,1931.37,ELECTRONICS,Excellent customer service experience 588
589,Customer#000000589,Details for Customer 589,10,14-727-894-3796,1630.35,FURNITURE,Excellent customer service experience 589
590,Customer#000000590,Details for Customer 590,16,85-873-472-7635,1284.52,BUILDING,Excellent customer service experience 590
591,Customer#000000591,Details for Customer 591,18,40-124-145-1145,567.2,FURNITURE,Excellent customer service experience 591
592,Customer#000000592,Details for Customer 592,16,79-795-418-4162,984.86,AUTOMOBILE,Excellent customer service experience 592
593,Customer#000000593,Details for Customer 593,13,35-881-376-9708,754.47,AUTOMOBILE,Excellent customer service experience 593
594,Customer#000000594,Details for Customer 594,18,89-414-289-3088,1097.77,ELECTRONICS,Excellent customer service experience 594
595,Customer#000000595,Details for Customer 595,12,12-430-447-9845,1528.31,ELECTRONICS,Excellent customer service experience 595
596,Customer#000000596,Details for Customer 596,18,22-967-687-5766,947.71,AUTOMOBILE,Excellent customer service experience 596
597,Customer#000000597,Details for Customer 597,18,16-865-992-3538,1190.45,FURNITURE,Excellent customer service experience 597
598,Customer#000000598,Details for Customer 598,18,11-757-653-8078,1228.38,ELECTRONICS,Excellent customer service experience 598
599,Customer#000000599,Details for Customer 599,12,90-164-314-1795,1514.71,AUTOMOBILE,Excellent customer service experience 599
600,Customer#000000600,Details for Customer 600,15,44-252-326-1642,841.35,AUTOMOBILE,Excellent customer service experience 600
601,Customer#000000601,Details for Customer 601,16,40-611-386-5933,1317.96,AUTOMOBILE,Excellent customer service experience 601
602,Customer#000000602,Details for Customer 602,15,73-607-980-7872,901.3,BUILDING,Excellent customer service experience 602
603,Customer#000000603,Details for Customer 603,18,16-561-501-6669,1461.92,ELECTRONICS,Excellent customer service experience 603
604,Customer#000000604,Details for Customer 604,15,92-375-422-7840,1191.96,ELECTRONICS,Excellent customer service experience 604
605,Customer#000000605,Details for Customer 605,18,33-629-452-4900,663.95,ELECTRONICS,Excellent customer service experience 605
606,Customer#000000606,Details for Customer 606,12,43-535-886-4498,1911.68,FURNITURE,Excellent customer service experience 606
607,Customer#000000607,Details for Customer 607,10,82-909-593-6085,1775.22,ELECTRONICS,Excellent customer service experience 607
608,Customer#000000608,Details for Customer 608,12,67-210-176-7460,1118.92,ELECTRONICS,Excellent customer service experience 608
609,Customer#000000609,Details for Customer 609,10,43-958-655-7311,1734.01,FURNITURE,Excellent customer service experience 609
610,Customer#000000610,Details for Customer 610,12,66-322-507-4138,851.51,BUILDING,Excellent customer service experience 610
611,Customer#000000611,Details for Customer 611,19,99-798-736-2168,1893.06,FURNITURE,Excellent customer service experience 611
612,Customer#000000612,Details for Customer 612,10,94-791-215-3638,1234.39,BUILDING,Excellent customer service experience 612
